"no","type","question","option_a","option_b","option_c","option_d","answer"
"1","mcq","Di Kepulauan Riau terdapat 364 desa tepi laut dan 64 desa bukan tepi laut. Jika dipilih satu desa acak, peluang terpilih desa tepi laut adalah ...","64/428","364/428","364/64","1/2","B"
"2","mcq","Perbandingan rumah tangga dengan bahan bakar kayu dan bukan kayu adalah 7:3. Peluang memilih rumah tangga yang bahan bakar utamanya bukan kayu adalah ...","3/10","7/10","3/7","7/3","A"
"3","mcq","Data penerbangan Medan-Palembang: (Perlu lapor ulang: tidak transit 0, transit Batam 6, transit Jakarta 28) dan (Tidak perlu: tidak transit 1, transit Batam 1, transit Jakarta 18). Peluang memilih penerbangan yang transit di Batam adalah ...","1/6","7/54","6/54","1/54","B"
"4","mcq","Pada data yang sama, jika dipilih acak satu penerbangan yang transit di Jakarta, peluang penerbangan tersebut perlu lapor ulang adalah ...","28/54","28/46","18/46","6/46","B"
"5","mcq","Jenis tiket Bandung-Surabaya: Eksekutif siang 5, eksekutif malam 10, ekonomi siang 0, ekonomi malam 5. Peluang tiket yang dipilih acak adalah tiket malam ialah ...","1/4","1/2","3/4","4/5","C"
"6","mcq","Dari tabel tiket yang sama, peluang memilih tiket siang kelas eksekutif adalah ...","1/4","1/5","5/15","1/2","A"
"7","mcq","Abel mencatat 20 harga laptop (juta rupiah): 4.699, 9.499, 2.899, 2.1, 8.85, 8.299, 5.99, 4.449, 2.98, 2.375, 4.529, 4.6, 10.64, 8.199, 11.199, 4.199, 3.15, 15.699, 3.825, 8.699. Frekuensi relatif harga yang <= 5 juta adalah ...","9/20","10/20","11/20","12/20","C"
"8","mcq","Sebuah dadu dilempar 60 kali. Frekuensi harapan muncul mata dadu kurang dari 5 adalah ...","20","30","40","50","C"
"9","mcq","Roda putar bernomor 1 sampai 8 diputar 100 kali. Frekuensi harapan muncul bilangan prima adalah ...","37.5","50","62.5","75","B"
"10","mcq","Dalam pelemparan 3 koin, peluang muncul paling banyak satu sisi gambar adalah ...","1/8","3/8","1/2","5/8","C"
"11","mcq","Dari kartu bernomor 1 sampai 5 diambil 2 kartu sekaligus. Peluang jumlah nomor kedua kartu sama dengan 6 adalah ...","1/5","2/5","3/10","1/2","B"
"12","mcq","Sebuah kejadian A memiliki peluang 0.37. Peluang komplemen A adalah ...","0.27","0.53","0.63","0.73","C"
"13","mcq","Sebuah kotak berisi 25 bola merah. Jika diambil satu bola acak, kejadian mendapat bola merah termasuk ...","mustahil","mungkin","hampir mustahil","pasti","D"
"14","mcq","Jika suatu kejadian memiliki peluang nol, maka kejadian itu disebut ...","kejadian acak","kejadian pasti","kejadian mustahil","kejadian komplemen","C"
"15","mcq","Dua siswa menyusun ruang sampel pelemparan 2 dadu. Siswa I memakai daftar pasangan berurutan, siswa II memakai tabel 6x6. Kesimpulan yang benar adalah ...","Hasil siswa I lebih banyak","Hasil siswa II lebih banyak","Keduanya ekuivalen dan memuat 36 titik sampel","Keduanya salah karena harus diagram pohon","C"
"16","mcq","Empat siswa tingginya 155, 140, 161, 144 cm. Dipilih 3 siswa sekaligus acak. Peluang rata-rata tinggi > 152 cm adalah ...","1/4","1/2","3/4","1","A"
"17","mcq","Sebuah koin fair dilempar 200 kali dan muncul gambar 118 kali. Frekuensi relatif kejadian gambar adalah ...","0.41","0.50","0.59","0.68","C"
"18","mcq","Dalam simulasi, peluang teoretis kejadian adalah 0.25. Saat jumlah percobaan diperbesar dari 40 menjadi 4000, frekuensi relatif biasanya ...","menjauh dari 0.25","mendekati 0.25","selalu tepat 0.25","menjadi 1","B"
"19","mcq","Untuk menaksir rata-rata tinggi seluruh siswa sekolah, manakah sampel yang paling representatif?","Semua pemain basket","20 siswa kelas IX dipilih acak","25 siswa kelas VIII berprestasi","10 siswa yang duduk baris depan","B"
"20","mcq","Sebuah sampel disebut representatif jika ...","ukurannya paling besar","hanya terdiri dari siswa teladan","distribusinya mirip populasi dalam bentuk, pusat, dan sebaran","diambil dari satu kelas saja","C"
"21","mcq","Dalam kelas 40 siswa, ketua kelas mensurvei peluang terpilihnya dirinya dengan bertanya hanya pada 10 sahabat dekat. Kelemahan utama metode ini adalah ...","ukuran sampel terlalu besar","bias seleksi tinggi","tidak bisa dihitung peluangnya","sampel terlalu acak","B"
"22","mcq","Sebuah dadu dilempar 5 kali berturut-turut dan semuanya muncul angka 2. Pada lemparan ke-6, peluang muncul angka 2 adalah ...","1/2","1/5","1/6","2/5","C"
"23","mcq","Sebuah kejadian A punya P(A)=0.72. Jika dilakukan 250 percobaan independen, frekuensi harapan kejadian A adalah ...","120","150","180","200","C"
"24","mcq","Kotak berisi bola merah, kuning, hijau. Setelah percobaan sangat banyak, frekuensi relatif mendekati 0.5, 0.3, 0.2. Jika total bola 20, komposisi yang paling masuk akal adalah ...","10, 6, 4","8, 8, 4","12, 4, 4","6, 10, 4","A"
"25","mcq","Dari angka 1 sampai 10 dipilih satu angka acak. Peluang terpilih angka yang tidak habis dibagi 6 adalah ...","1/10","8/10","9/10","1","C"
"26","mcq","Dari huruf A sampai J dipilih satu huruf acak. Peluang terpilih huruf konsonan adalah ...","3/10","5/10","7/10","8/10","C"
"27","mcq","Dalam 12 hasil pelemparan koin: G, A, G, A, A, A, G, G, A, G, G, G. Frekuensi relatif muncul G adalah ...","1/3","1/2","7/12","2/3","C"
"28","mcq","Jika P(B)=0.18, maka nilai P(B komplemen) dan interpretasi yang tepat adalah ...","0.18, kejadian B hampir pasti","0.82, kejadian B relatif jarang","0.82, kejadian B mustahil","0.92, kejadian B sangat sering","B"
"29","mcq","Guru memilih 3 dari 27 siswa secara acak tanpa pengulangan. Metode yang paling adil adalah ...","memilih 3 siswa dengan nilai tertinggi","memilih 3 siswa dari barisan depan","mengundi seluruh nama siswa lalu ambil 3 nama pertama","memilih 3 siswa yang paling aktif bicara","C"
"30","mcq","Sebuah situs memiliki 23 halaman, masing-masing 20 produk. Untuk sampel acak berukuran 40, rancangan terbaik adalah ...","ambil seluruh produk dari 2 halaman pertama","ambil 40 produk termurah","pilih 40 indeks produk secara acak dari seluruh 460 produk","ambil 2 produk pertama dari setiap halaman","C"
"31","mcq","Dua sampel berukuran sama dibandingkan dengan populasi. Sampel A memiliki rata-rata dekat populasi tetapi sebaran sangat sempit, sampel B rata-rata dekat populasi dan sebaran mirip populasi. Sampel yang lebih representatif adalah ...","A","B","keduanya sama","tidak bisa ditentukan","B"
"32","mcq","Dari 50 remaja, peneliti ingin memperkirakan tekanan darah rata-rata. Sampel 10 remaja yang dipilih dari tim atlet saja cenderung ...","lebih representatif","kurang bias","bias dan berpotensi tidak mewakili populasi","selalu benar jika ukuran 10","C"
"33","mcq","Peluang memilih desa tepi laut di provinsi tertentu adalah 0.85. Jika dipilih 20 desa secara independen, frekuensi harapan desa tepi laut adalah ...","15","16","17","18","C"
"34","mcq","Dalam kuis 3 tirai (satu hadiah, dua kosong), setelah pembawa acara membuka satu tirai kosong yang bukan pilihanmu, strategi terbaik adalah ...","tetap pada pilihan awal","selalu pindah tirai","acak antara tetap dan pindah","pilih tirai yang dibuka","B"
"35","mcq","Alasan matematis strategi pada kuis 3 tirai lebih baik adalah ...","setelah satu tirai dibuka peluang jadi 1/2-1/2","pilihan awal punya peluang 1/3, pindah mengumpulkan peluang 2/3","karena pembawa acara tidak berpengaruh","karena jumlah tirai tersisa dua","B"
"36","mcq","Seorang siswa berkata: ""Asal sampel lebih dari 50 persen populasi, pasti representatif."" Penilaian yang benar adalah ...","selalu benar","benar jika tanpa acak","salah, representatif ditentukan juga oleh cara pemilihan","salah, karena sampel harus 100 persen","C"
"37","mcq","Jika n(S)=40 dan n(A)=12, maka P(A) adalah ...","0.2","0.3","0.4","0.48","B"
"38","mcq","Sebuah roda dengan 5 juring sama besar bernomor 1-5 diputar 3 kali. Peluang rata-rata hasil kurang dari 2 sama dengan peluang jumlah hasil < 6. Banyak kejadian yang memenuhi adalah ...","4","7","10","14","C"
"39","mcq","Pada soal sebelumnya total titik sampel adalah 5^3. Jadi peluang rata-rata hasil kurang dari 2 adalah ...","10/125","15/125","20/125","25/125","A"
"40","mcq","Dua ketapel diuji: Ketapel A tepat sasaran 44 dari 54, ketapel B tepat sasaran 15 dari 18. Ketapel yang lebih akurat berdasarkan proporsi keberhasilan adalah ...","A","B","sama","tidak bisa dibandingkan","B"
